Geographie
Land # Erdteil
In welchem Erdteil liegt <>?

Norwegen # Europa
Schweden # Europa
Finnland # Europa
Estland # Europa
Lettland # Europa
Litauen # Europa
Russland # Asien
Belarus (Weißrussland) # Europa
Deutschland # Europa
Dänemark # Europa
Polen # Europa
Tschechische Republik # Europa
Österreich # Europa
Schweiz # Europa
Liechtenstein # Europa
Frankreich # Europa
Luxemburg # Europa
Belgien # Europa
Niederlande # Europa
Spanien # Europa
Andorra # Europa
Portugal # Europa
Monaco # Europa
Italien # Europa
Vatikanstadt # Europa
San Marino # Europa
Slowenien # Europa
Slowakei # Europa
Ungarn # Europa
Kroatien # Europa
Bosnien u. Herzegowina # Europa
Serbien # Europa
Kosovo # Europa
Nordmazedonien # Europa
Montenegro # Europa
Albanien # Europa
Griechenland # Europa
Bulgarien # Europa
Rumänien # Europa
Republik Moldau # Europa
Ukraine # Europa
Zypern # Europa
Malta # Europa
Irland # Europa
Großbritannien # Europa
Island # Europa
Georgien # Asien
Armenien # Asien
Aserbaidschan # Asien
Türkei # Asien
Syrien # Asien
Libanon # Asien
Israel # Asien
Jordanien # Asien
Saudi-Arabien # Asien
Jemen # Asien
Oman # Asien
Vereinigte Arabische Emirate # Asien
Katar # Asien
Bahrain # Asien
Kuwait # Asien
Irak # Asien
Iran # Asien
Turkmenistan # Asien
Usbekistan # Asien
Kasachstan # Asien
Kirgisistan # Asien
Tadschikistan # Asien
Afghanistan # Asien
Pakistan # Asien
Mongolei # Asien
Nordkorea # Asien
Südkorea # Asien
Japan # Asien
China # Asien
Indien # Asien
Nepal # Asien
Bangladesch # Asien
Bhutan # Asien
Myanmar # Asien
Thailand # Asien
Laos # Asien
Vietnam # Asien
Kambodscha # Asien
Malaysia # Asien
Singapur # Asien
Indonesien # Asien
Brunei # Asien
Philippinen # Asien
Malediven # Asien
Sri Lanka # Asien
(Taiwan # Asien
Osttimor # Asien
Kanada # Nordamerika
Vereinigte Staaten # Nordamerika
Mexiko # Nordamerika
Bahamas # Nordamerika
Kuba # Nordamerika
Jamaika # Nordamerika
Haiti # Nordamerika
Dominikanische Republik # Nordamerika
Antigua u. Barbuda # Nordamerika
St. Kitts u. Nevis # Nordamerika
Dominica # Nordamerika
St. Lucia # Nordamerika
Barbados # Nordamerika
St. Vincent u. d. Grenadinen # Nordamerika
Grenada # Nordamerika
Trinidad u. Tobago # Nordamerika
Belize # Nordamerika
Guatemala # Nordamerika
El Salvador # Nordamerika
Honduras # Nordamerika
Nicaragua # Nordamerika
Costa Rica # Nordamerika
Panama # Nordamerika
Kolumbien # Südamerika
Venezuela # Südamerika
Guyana # Südamerika
Suriname # Südamerika
Ecuador # Südamerika
Peru # Südamerika
Brasilien # Südamerika
Bolivien # Südamerika
Paraguay # Südamerika
Uruguay # Südamerika
Chile # Südamerika
Argentinien # Südamerika
Marokko # Afrika
Algerien # Afrika
Tunesien # Afrika
Libyen # Afrika
Ägypten # Afrika
Mauretanien # Afrika
Senegal # Afrika
Gambia # Afrika
Guinea-Bissau # Afrika
Guinea # Afrika
Sierra Leone # Afrika
Liberia # Afrika
Elfenbeinküste # Afrika
Ghana # Afrika
Burkina Faso # Afrika
Togo # Afrika
Benin # Afrika
Mali # Afrika
Niger # Afrika
Nigeria # Afrika
Tschad # Afrika
Sudan # Afrika
Südsudan # Afrika
Eritrea # Afrika
Dschibuti # Afrika
Äthiopien # Afrika
Somalia # Afrika
Uganda # Afrika
Ruanda # Afrika
Burundi # Afrika
Kenia # Afrika
Tansania # Afrika
Kamerun # Afrika
Äquatorialguinea # Afrika
Gabun # Afrika
Republik Kongo # Afrika
Demokratische Republik Kongo # Afrika
Zentralafrikanische Republik # Afrika
Angola # Afrika
Sambia # Afrika
Simbabwe # Afrika
Namibia # Afrika
Malawi # Afrika
Mosambik # Afrika
Botswana # Afrika
Südafrika # Afrika
Königreich Eswatini # Afrika
Lesotho # Afrika
Madagaskar # Afrika
Komoren # Afrika
Seychellen # Afrika
Mauritius # Afrika
São Tomé u. Príncipe # Afrika
Kap Verde # Afrika
Australien # Ozeanien
Neuseeland # Ozeanien
Papua-Neuguinea # Ozeanien
Salomonen # Ozeanien
Vanuatu # Ozeanien
Tonga # Ozeanien
Fidschi # Ozeanien
Samoa # Ozeanien
Nauru # Ozeanien
Cookinseln # Ozeanien
Tuvalu # Ozeanien
Palau # Ozeanien
Mikronesien # Ozeanien
Marshallinseln # Ozeanien
Kiribati # Ozeanien
